"","GO.ID","Term","Annotated","Significant","Expected","Fisher","fdr"
"1","GO:0015979","photosynthesis",45,38,9.24,"8.1e-27",4.8519e-24
"2","GO:0006091","generation of precursor metabolites and ...",58,39,11.91,"4.8e-21",1.4376e-18
"3","GO:0009765","photosynthesis, light harvesting",34,34,6.98,"4.5e-11",8.985e-09
"4","GO:0042221","response to chemical",79,45,16.22,"2.6e-09",3.8935e-07
"5","GO:0006629","lipid metabolic process",216,60,44.35,"2.7e-08",3.2346e-06
"6","GO:0009719","response to endogenous stimulus",70,40,14.37,"3.6e-08",3.594e-06
"7","GO:0019684","photosynthesis, light reaction",41,36,8.42,"8.6e-07",7.35914285714286e-05
"8","GO:0050896","response to stimulus",302,90,62.01,"2.8e-05",0.0020965
"9","GO:0044255","cellular lipid metabolic process",102,29,20.95,"0.0017",0.113144444444444
"10","GO:0005975","carbohydrate metabolic process",96,25,19.71,"0.0025",0.147027272727273
"11","GO:0051604","protein maturation",6,3,1.23,"0.0027",0.147027272727273
"12","GO:0006952","defense response",64,23,13.14,"0.0030",0.14975
"13","GO:0015849","organic acid transport",39,8,8.01,"0.0036",0.165876923076923
"14","GO:0018193","peptidyl-amino acid modification",30,5,6.16,"0.0043",0.18344375
"15","GO:0042908","xenobiotic transport",77,16,15.81,"0.0047",0.18344375
"16","GO:0006865","amino acid transport",32,7,6.57,"0.0049",0.18344375
"17","GO:0006259","DNA metabolic process",52,7,10.68,"0.0066",0.232552941176471
"18","GO:0006457","protein folding",31,10,6.37,"0.0081",0.26955
"19","GO:0033013","tetrapyrrole metabolic process",6,3,1.23,"0.0102",0.321568421052632
"20","GO:0007010","cytoskeleton organization",32,7,6.57,"0.0121",0.362395
"21","GO:0046839","phospholipid dephosphorylation",10,5,2.05,"0.0152",0.432913636363636
"22","GO:0042546","cell wall biogenesis",8,3,1.64,"0.0159",0.432913636363636
"23","GO:0016053","organic acid biosynthetic process",42,12,8.62,"0.0199",0.50915
"24","GO:0070726","cell wall assembly",8,3,1.64,"0.0204",0.50915
"25","GO:1901293","nucleoside phosphate biosynthetic proces...",16,4,3.29,"0.0246",0.589416
"26","GO:0008652","cellular amino acid biosynthetic process",17,6,3.49,"0.0366",0.843207692307692
"27","GO:0018904","ether metabolic process",37,10,7.6,"0.0414",0.918466666666667
"28","GO:0006284","base-excision repair",11,4,2.26,"0.0466",0.996907142857143
"29","GO:0008152","metabolic process",1586,342,325.68,"0.0495",1
"30","GO:0034660","ncRNA metabolic process",39,3,8.01,"0.0540",1
"31","GO:0006811","ion transport",99,16,20.33,"0.0559",1
"32","GO:0045229","external encapsulating structure organiz...",8,3,1.64,"0.0582",1
"33","GO:0043062","extracellular structure organization",8,3,1.64,"0.0582",1
"34","GO:0006082","organic acid metabolic process",84,21,17.25,"0.0604",1
"35","GO:0018205","peptidyl-lysine modification",3,2,0.62,"0.0640",1
"36","GO:1901566","organonitrogen compound biosynthetic pro...",95,16,19.51,"0.0658",1
"37","GO:0006855","xenobiotic transmembrane transport",77,16,15.81,"0.0704",1
"38","GO:0007275","multicellular organism development",10,5,2.05,"0.0704",1
"39","GO:0008612","peptidyl-lysine modification to peptidyl...",3,2,0.62,"0.0770",1
"40","GO:0006839","mitochondrial transport",7,1,1.44,"0.0778",1
"41","GO:0032502","developmental process",12,5,2.46,"0.0794",1
"42","GO:0030258","lipid modification",12,6,2.46,"0.0812",1
"43","GO:0006650","glycerophospholipid metabolic process",30,10,6.16,"0.0863",1
"44","GO:0000272","polysaccharide catabolic process",10,2,2.05,"0.0879",1
"45","GO:0046854","phosphatidylinositol phosphate biosynthe...",7,3,1.44,"0.0962",1
"46","GO:0006547","histidine metabolic process",7,3,1.44,"0.1005",1
"47","GO:0019637","organophosphate metabolic process",65,14,13.35,"0.1024",1
"48","GO:0072522","purine-containing compound biosynthetic ...",16,4,3.29,"0.1032",1
"49","GO:0032507","maintenance of protein location in cell",8,1,1.64,"0.1176",1
"50","GO:0042430","indole-containing compound metabolic pro...",7,2,1.44,"0.1205",1
"51","GO:0009072","aromatic amino acid family metabolic pro...",7,2,1.44,"0.1241",1
"52","GO:0033014","tetrapyrrole biosynthetic process",5,2,1.03,"0.1259",1
"53","GO:0044106","cellular amine metabolic process",8,2,1.64,"0.1268",1
"54","GO:0072521","purine-containing compound metabolic pro...",23,4,4.72,"0.1360",1
"55","GO:0046856","phosphatidylinositol dephosphorylation",10,5,2.05,"0.1392",1
"56","GO:0005996","monosaccharide metabolic process",9,4,1.85,"0.1407",1
"57","GO:0030001","metal ion transport",53,11,10.88,"0.1440",1
"58","GO:0032501","multicellular organismal process",18,6,3.7,"0.1456",1
"59","GO:0006412","translation",4,1,0.82,"0.1533",1
"60","GO:0046390","ribose phosphate biosynthetic process",16,4,3.29,"0.1713",1
"61","GO:0032787","monocarboxylic acid metabolic process",41,13,8.42,"0.1716",1
"62","GO:0005976","polysaccharide metabolic process",16,3,3.29,"0.1814",1
"63","GO:0034470","ncRNA processing",39,3,8.01,"0.1918",1
"64","GO:0071554","cell wall organization or biogenesis",11,3,2.26,"0.1998",1
"65","GO:0006778","porphyrin-containing compound metabolic ...",4,3,0.82,"0.2000",1
