"","GO.ID","Term","Annotated","Significant","Expected","Fisher","fdr"
"1","GO:0009579","thylakoid",30,23,4.95,"5.7e-14",9.405e-12
"2","GO:0034357","photosynthetic membrane",29,22,4.79,"4.6e-12",3.795e-10
"3","GO:0009521","photosystem",29,22,4.79,"1.3e-09",7.15e-08
"4","GO:0098796","membrane protein complex",77,26,12.72,"0.00013",0.0053625
"5","GO:0043228","non-membrane-bounded organelle",137,26,22.63,"0.00511",0.139778571428571
"6","GO:0043232","intracellular non-membrane-bounded organ...",137,26,22.63,"0.00511",0.139778571428571
"7","GO:0110165","cellular anatomical entity",1177,200,194.39,"0.00593",0.139778571428571
"8","GO:0005856","cytoskeleton",34,12,5.62,"0.00712",0.14685
"9","GO:0009536","plastid",5,3,0.83,"0.01090",0.199833333333333
"10","GO:0005875","microtubule associated complex",9,5,1.49,"0.01438",0.23727
"11","GO:0005815","microtubule organizing center",10,5,1.65,"0.01634",0.2451
"12","GO:0000930","gamma-tubulin complex",10,5,1.65,"0.02560",0.35145
"13","GO:0005576","extracellular region",40,12,6.61,"0.02769",0.35145
"14","GO:0005740","mitochondrial envelope",52,7,8.59,"0.03519",0.414739285714286
"15","GO:0005960","glycine cleavage complex",3,2,0.5,"0.03951",0.43461
"16","GO:1990204","oxidoreductase complex",4,2,0.66,"0.04242",0.43745625
"17","GO:0030312","external encapsulating structure",9,4,1.49,"0.05045",0.489661764705882
"18","GO:0000276","mitochondrial proton-transporting ATP sy...",5,2,0.83,"0.05848",0.536066666666667
"19","GO:0005887","integral component of plasma membrane",3,2,0.5,"0.06435",0.558828947368421
"20","GO:0032991","protein-containing complex",302,58,49.88,"0.08780",0.72435
"21","GO:0015630","microtubule cytoskeleton",22,10,3.63,"0.09445",0.742107142857143
"22","GO:0031903","microbody membrane",8,2,1.32,"0.10000",0.75
"23","GO:0031226","intrinsic component of plasma membrane",4,2,0.66,"0.11799",0.84645
"24","GO:0019866","organelle inner membrane",34,5,5.62,"0.14387",0.98910625
"25","GO:0016020","membrane",613,111,101.24,"0.16245",1
"26","GO:0045263","proton-transporting ATP synthase complex...",5,2,0.83,"0.18608",1
"27","GO:0031966","mitochondrial membrane",52,7,8.59,"0.22791",1
"28","GO:0000439","transcription factor TFIIH core complex",4,1,0.66,"0.23529",1
"29","GO:0005801","cis-Golgi network",3,1,0.5,"0.26269",1
"30","GO:0005753","mitochondrial proton-transporting ATP sy...",10,2,1.65,"0.26316",1
"31","GO:0005778","peroxisomal membrane",8,2,1.32,"0.26667",1
"32","GO:0000148","1,3-beta-D-glucan synthase complex",9,1,1.49,"0.28125",1
"33","GO:0005963","magnesium-dependent protein serine/threo...",15,1,2.48,"0.29412",1
"34","GO:0071944","cell periphery",55,11,9.08,"0.32487",1
"35","GO:0005886","plasma membrane",21,5,3.47,"0.32549",1
"36","GO:0000015","phosphopyruvate hydratase complex",4,1,0.66,"0.32617",1
"37","GO:1904949","ATPase complex",4,1,0.66,"0.33386",1
"38","GO:0045259","proton-transporting ATP synthase complex",10,2,1.65,"0.37500",1
"39","GO:0000796","condensin complex",3,1,0.5,"0.37734",1
"40","GO:0070603","SWI/SNF superfamily-type complex",4,1,0.66,"0.38252",1
"41","GO:0031011","Ino80 complex",4,1,0.66,"0.40000",1
"42","GO:0031300","intrinsic component of organelle membran...",10,2,1.65,"0.40696",1
"43","GO:0098827","endoplasmic reticulum subcompartment",39,3,6.44,"0.42643",1
"44","GO:0005743","mitochondrial inner membrane",33,5,5.45,"0.46397",1
"45","GO:0005840","ribosome",3,1,0.5,"0.47089",1
"46","GO:0031968","organelle outer membrane",18,2,2.97,"0.47369",1
"47","GO:0031301","integral component of organelle membrane",10,2,1.65,"0.48361",1
"48","GO:0042579","microbody",15,2,2.48,"0.50932",1
"49","GO:0000785","chromatin",69,12,11.4,"0.51665",1
"50","GO:0005739","mitochondrion",61,7,10.07,"0.52638",1
"51","GO:0090575","RNA polymerase II transcription regulato...",17,1,2.81,"0.54282",1
"52","GO:0005885","Arp2/3 protein complex",4,1,0.66,"0.57322",1
"53","GO:0008290","F-actin capping protein complex",4,1,0.66,"0.57322",1
"54","GO:0031231","intrinsic component of peroxisomal membr...",8,2,1.32,"0.62222",1
"55","GO:0005779","integral component of peroxisomal membra...",8,2,1.32,"0.62222",1
"56","GO:0009522","photosystem I",17,13,2.81,"0.63072",1
"57","GO:1905368","peptidase complex",10,1,1.65,"0.65480",1
"58","GO:0005829","cytosol",6,1,0.99,"0.67373",1
"59","GO:0005787","signal peptidase complex",4,1,0.66,"0.68553",1
"60","GO:0009523","photosystem II",8,6,1.32,"0.71769",1
"61","GO:0000228","nuclear chromosome",10,1,1.65,"0.72472",1
"62","GO:0005634","nucleus",179,16,29.56,"0.73492",1
"63","GO:0031224","intrinsic component of membrane",237,37,39.14,"0.76543",1
"64","GO:0005741","mitochondrial outer membrane",18,2,2.97,"0.77884",1
"65","GO:0098588","bounding membrane of organelle",47,4,7.76,"0.78435",1
"66","GO:0044815","DNA packaging complex",67,11,11.07,"0.79553",1
"67","GO:1903293","phosphatase complex",15,1,2.48,"0.81043",1
"68","GO:0140534","endoplasmic reticulum protein-containing...",9,1,1.49,"0.81580",1
"69","GO:0005622","intracellular anatomical structure",662,107,109.34,"0.82569",1
"70","GO:0005789","endoplasmic reticulum membrane",39,3,6.44,"0.82756",1
"71","GO:0031967","organelle envelope",73,7,12.06,"0.83383",1
"72","GO:0032993","protein-DNA complex",64,10,10.57,"0.84088",1
"73","GO:0016021","integral component of membrane",236,37,38.98,"0.84388",1
"74","GO:0033177","proton-transporting two-sector ATPase co...",9,2,1.49,"0.87852",1
"75","GO:0005794","Golgi apparatus",18,1,2.97,"0.88384",1
"76","GO:0005938","cell cortex",25,2,4.13,"0.88885",1
"77","GO:0000145","exocyst",25,2,4.13,"0.92308",1
"78","GO:0019867","outer membrane",22,2,3.63,"0.93115",1
"79","GO:0015629","actin cytoskeleton",10,2,1.65,"0.94955",1
"80","GO:0098798","mitochondrial protein-containing complex",23,2,3.8,"0.94981",1
"81","GO:0031981","nuclear lumen",32,1,5.29,"0.95855",1
