"","GO.ID","Term","Annotated","Significant","Expected","Fisher","fdr"
"1","GO:0003824","catalytic activity",4656,946,778.89,"3.6e-17",1.854e-14
"2","GO:0050660","flavin adenine dinucleotide binding",17,12,2.84,"4.3e-09",1.10725e-06
"3","GO:0003677","DNA binding",769,105,128.64,"1.6e-08",2.74666666666667e-06
"4","GO:0005215","transporter activity",399,103,66.75,"1.9e-06",0.000244625
"5","GO:0005199","structural constituent of cell wall",16,10,2.68,"9.9e-06",0.0010197
"6","GO:0017171","serine hydrolase activity",151,49,25.26,"1.7e-05",0.00132428571428571
"7","GO:0008236","serine-type peptidase activity",151,49,25.26,"1.8e-05",0.00132428571428571
"8","GO:0098772","molecular function regulator activity",157,47,26.26,"2.6e-05",0.00167375
"9","GO:0043169","cation binding",780,148,130.48,"9.3e-05",0.00532166666666667
"10","GO:0043167","ion binding",1518,236,253.94,"0.00027",0.013905
"11","GO:0016740","transferase activity",1830,415,306.14,"0.00076",0.0349464285714286
"12","GO:0016798","hydrolase activity, acting on glycosyl b...",251,66,41.99,"0.00091",0.0349464285714286
"13","GO:0003777","microtubule motor activity",57,16,9.54,"0.00091",0.0349464285714286
"14","GO:0004252","serine-type endopeptidase activity",106,37,17.73,"0.00095",0.0349464285714286
"15","GO:0030145","manganese ion binding",23,11,3.85,"0.00181",0.0621433333333333
"16","GO:0004672","protein kinase activity",1127,276,188.53,"0.00212",0.0682375
"17","GO:0015103","inorganic anion transmembrane transporte...",25,10,4.18,"0.00295",0.0893676470588235
"18","GO:0140096","catalytic activity, acting on a protein",1633,368,273.18,"0.00334",0.0905315789473684
"19","GO:0005261","cation channel activity",17,7,2.84,"0.00334",0.0905315789473684
"20","GO:0004857","enzyme inhibitor activity",118,43,19.74,"0.00500",0.12875
"21","GO:0016801","hydrolase activity, acting on ether bond...",3,3,0.5,"0.00698",0.16995
"22","GO:0008509","anion transmembrane transporter activity",28,10,4.68,"0.00726",0.16995
"23","GO:0019825","oxygen binding",5,3,0.84,"0.01051",0.235332608695652
"24","GO:0046983","protein dimerization activity",128,27,21.41,"0.01133",0.243122916666667
"25","GO:0016746","acyltransferase activity",130,40,21.75,"0.01684",0.346904
"26","GO:0004568","chitinase activity",15,8,2.51,"0.02097",0.415367307692308
"27","GO:0004867","serine-type endopeptidase inhibitor acti...",26,13,4.35,"0.02464",0.469985185185185
"28","GO:0000234","phosphoethanolamine N-methyltransferase ...",3,2,0.5,"0.03297",0.6064125
"29","GO:0016774","phosphotransferase activity, carboxyl gr...",9,5,1.51,"0.03947",0.70093275862069
"30","GO:0004618","phosphoglycerate kinase activity",4,3,0.67,"0.04612",0.766384375
"31","GO:0004497","monooxygenase activity",364,83,60.89,"0.04715",0.766384375
"32","GO:0016832","aldehyde-lyase activity",5,3,0.84,"0.04762",0.766384375
"33","GO:0016772","transferase activity, transferring phosp...",1270,302,212.46,"0.05025",0.784204545454545
"34","GO:0016301","kinase activity",1219,295,203.92,"0.05446",0.824908823529412
"35","GO:0005515","protein binding",2521,344,421.73,"0.07902",1
"36","GO:0016880","acid-ammonia (or amide) ligase activity",5,2,0.84,"0.09254",1
"37","GO:0005452","inorganic anion exchanger activity",5,3,0.84,"0.09715",1
"38","GO:0016229","steroid dehydrogenase activity",25,8,4.18,"0.10366",1
"39","GO:0008429","phosphatidylethanolamine binding",6,2,1,"0.10684",1
"40","GO:0010181","FMN binding",16,4,2.68,"0.11021",1
"41","GO:0016668","oxidoreductase activity, acting on a sul...",13,5,2.17,"0.11068",1
"42","GO:0030234","enzyme regulator activity",151,47,25.26,"0.11343",1
"43","GO:0004474","malate synthase activity",3,3,0.5,"0.11429",1
"44","GO:0033764","steroid dehydrogenase activity, acting o...",23,7,3.85,"0.11469",1
"45","GO:0004664","prephenate dehydratase activity",4,3,0.67,"0.11813",1
"46","GO:0004180","carboxypeptidase activity",48,12,8.03,"0.11826",1
"47","GO:0016835","carbon-oxygen lyase activity",23,8,3.85,"0.11914",1
"48","GO:0004478","methionine adenosyltransferase activity",4,2,0.67,"0.12411",1
"49","GO:0035251","UDP-glucosyltransferase activity",6,2,1,"0.12482",1
"50","GO:0005516","calmodulin binding",20,5,3.35,"0.12587",1
"51","GO:0005244","voltage-gated ion channel activity",12,4,2.01,"0.12602",1
"52","GO:0008061","chitin binding",6,2,1,"0.12662",1
"53","GO:0046912","acyltransferase activity, acyl groups co...",7,4,1.17,"0.13003",1
"54","GO:0004175","endopeptidase activity",251,59,41.99,"0.13143",1
"55","GO:0004645","1,4-alpha-oligoglucan phosphorylase acti...",6,2,1,"0.13231",1
"56","GO:0016780","phosphotransferase activity, for other s...",3,2,0.5,"0.14252",1
"57","GO:0004751","ribose-5-phosphate isomerase activity",4,3,0.67,"0.14286",1
"58","GO:0003746","translation elongation factor activity",19,2,3.18,"0.14541",1
"59","GO:0016879","ligase activity, forming carbon-nitrogen...",53,6,8.87,"0.14694",1
"60","GO:0140657","ATP-dependent activity",78,17,13.05,"0.14705",1
"61","GO:0016209","antioxidant activity",89,19,14.89,"0.15166",1
"62","GO:0015098","molybdate ion transmembrane transporter ...",4,3,0.67,"0.15889",1
"63","GO:0015932","nucleobase-containing compound transmemb...",8,3,1.34,"0.16239",1
"64","GO:1901505","carbohydrate derivative transmembrane tr...",8,3,1.34,"0.16239",1
"65","GO:0047952","glycerol-3-phosphate dehydrogenase [NAD(...",4,2,0.67,"0.16242",1
"66","GO:0003774","cytoskeletal motor activity",74,16,12.38,"0.16397",1
"67","GO:0005094","Rho GDP-dissociation inhibitor activity",4,2,0.67,"0.16667",1
"68","GO:0015291","secondary active transmembrane transport...",23,6,3.85,"0.16946",1
"69","GO:0046527","glucosyltransferase activity",7,2,1.17,"0.17475",1
