"","GO.ID","Term","Annotated","Significant","Expected","Fisher","fdr"
"1","GO:0005811","lipid droplet",8,5,0.9,"0.00037",0.06105
"2","GO:0005576","extracellular region",40,11,4.5,"0.00308",0.2541
"3","GO:0005787","signal peptidase complex",4,2,0.45,"0.02467",1
"4","GO:0005938","cell cortex",25,5,2.81,"0.05265",1
"5","GO:0099023","vesicle tethering complex",26,5,2.93,"0.05905",1
"6","GO:1905368","peptidase complex",10,3,1.13,"0.07029",1
"7","GO:0005789","endoplasmic reticulum membrane",39,4,4.39,"0.16220",1
"8","GO:0031224","intrinsic component of membrane",237,31,26.68,"0.18231",1
"9","GO:0140534","endoplasmic reticulum protein-containing...",9,2,1.01,"0.18607",1
"10","GO:0005634","nucleus",179,19,20.15,"0.19986",1
"11","GO:0005743","mitochondrial inner membrane",33,3,3.71,"0.23290",1
"12","GO:0005746","mitochondrial respirasome",3,1,0.34,"0.25587",1
"13","GO:0140535","intracellular protein-containing complex",51,6,5.74,"0.26151",1
"14","GO:0005615","extracellular space",9,2,1.01,"0.26731",1
"15","GO:0071944","cell periphery",55,8,6.19,"0.26872",1
"16","GO:0005783","endoplasmic reticulum",67,8,7.54,"0.27508",1
"17","GO:0009523","photosystem II",8,1,0.9,"0.27586",1
"18","GO:1902494","catalytic complex",74,8,8.33,"0.28716",1
"19","GO:0005840","ribosome",3,1,0.34,"0.29574",1
"20","GO:0032993","protein-DNA complex",64,7,7.2,"0.29930",1
"21","GO:0070469","respirasome",3,1,0.34,"0.30035",1
"22","GO:0019866","organelle inner membrane",34,3,3.83,"0.31438",1
"23","GO:0033588","elongator holoenzyme complex",3,1,0.34,"0.31861",1
"24","GO:0043228","non-membrane-bounded organelle",137,15,15.42,"0.32040",1
"25","GO:0043232","intracellular non-membrane-bounded organ...",137,15,15.42,"0.32040",1
"26","GO:0044815","DNA packaging complex",67,7,7.54,"0.34687",1
"27","GO:0000151","ubiquitin ligase complex",4,1,0.45,"0.39950",1
"28","GO:0031226","intrinsic component of plasma membrane",4,1,0.45,"0.41845",1
"29","GO:0005744","TIM23 mitochondrial import inner membran...",8,1,0.9,"0.42105",1
"30","GO:0000786","nucleosome",64,7,7.2,"0.42170",1
"31","GO:0005669","transcription factor TFIID complex",8,1,0.9,"0.47059",1
"32","GO:0031984","organelle subcompartment",40,5,4.5,"0.47199",1
"33","GO:0000502","proteasome complex",5,1,0.56,"0.47989",1
"34","GO:0098797","plasma membrane protein complex",9,1,1.01,"0.48288",1
"35","GO:0005773","vacuole",7,1,0.79,"0.49850",1
"36","GO:0005667","transcription regulator complex",19,2,2.14,"0.50165",1
"37","GO:1903293","phosphatase complex",15,2,1.69,"0.51334",1
"38","GO:0005740","mitochondrial envelope",52,3,5.85,"0.53384",1
"39","GO:0005875","microtubule associated complex",9,1,1.01,"0.55653",1
