"","GO.ID","Term","Annotated","Significant","Expected","Fisher","fdr"
"1","GO:0005524","ATP binding",334,64,40.6,"9.2e-13",4.738e-10
"2","GO:0035639","purine ribonucleoside triphosphate bindi...",419,70,50.93,"7.2e-08",1.854e-05
"3","GO:0003824","catalytic activity",4656,651,565.93,"6.3e-07",0.00010815
"4","GO:0016491","oxidoreductase activity",960,167,116.69,"0.00048",0.0618
"5","GO:0016798","hydrolase activity, acting on glycosyl b...",251,49,30.51,"0.00268",0.259216666666667
"6","GO:0042578","phosphoric ester hydrolase activity",68,15,8.27,"0.00302",0.259216666666667
"7","GO:0003995","acyl-CoA dehydrogenase activity",10,6,1.22,"0.00680",0.500285714285714
"8","GO:0046982","protein heterodimerization activity",11,5,1.34,"0.01110",0.7145625
"9","GO:0016298","lipase activity",13,5,1.58,"0.01256",0.718711111111111
"10","GO:0016679","oxidoreductase activity, acting on diphe...",10,5,1.22,"0.01794",0.902966666666667
"11","GO:0061134","peptidase regulator activity",58,10,7.05,"0.01945",0.902966666666667
"12","GO:0008443","phosphofructokinase activity",11,4,1.34,"0.02104",0.902966666666667
"13","GO:0140110","transcription regulator activity",356,56,43.27,"0.02489",0.95172
"14","GO:0016746","acyltransferase activity",130,22,15.8,"0.02718",0.95172
"15","GO:0019200","carbohydrate kinase activity",23,6,2.8,"0.02772",0.95172
"16","GO:0016830","carbon-carbon lyase activity",34,8,4.13,"0.03068",0.9875125
"17","GO:0008375","acetylglucosaminyltransferase activity",32,7,3.89,"0.03298",0.99601
"18","GO:0008242","omega peptidase activity",3,2,0.36,"0.03518",0.99601
"19","GO:0003993","acid phosphatase activity",23,7,2.8,"0.03996",0.99601
"20","GO:0004222","metalloendopeptidase activity",34,7,4.13,"0.04008",0.99601
"21","GO:0019787","ubiquitin-like protein transferase activ...",98,17,11.91,"0.04421",0.99601
"22","GO:0140103","catalytic activity, acting on a glycopro...",13,4,1.58,"0.04598",0.99601
"23","GO:0004673","protein histidine kinase activity",20,5,2.43,"0.04645",0.99601
"24","GO:0033926","glycopeptide alpha-N-acetylgalactosamini...",8,4,0.97,"0.04721",0.99601
"25","GO:0016775","phosphotransferase activity, nitrogenous...",20,5,2.43,"0.04835",0.99601
"26","GO:0003968","RNA-directed 5'-3' RNA polymerase activi...",6,2,0.73,"0.05435",1
"27","GO:0016884","carbon-nitrogen ligase activity, with gl...",25,8,3.04,"0.05788",1
